antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",0.03451407811080836,0.04087193460490463,0.02452316076294278,0.7105263157894737,17.38421052631579,1.0,0.023112503619449252,3.313351498637602,0.9761680777673252,0.48214285714285715,0.6981907894736842,0.6552631578947369,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCE.. & ROSES REGENCY TEACUP AND SAUCE..
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04087193460490463,0.03451407811080836,0.02452316076294278,0.6000000000000001,17.38421052631579,1.0,0.023112503619449252,2.41371480472298,0.982638888888889,0.48214285714285715,0.5857008466603952,0.6552631578947369,GREEN REGENCY TEACUP AND SAUCE.. & ROSES REGENCY TEACUP AND SAUCE..,PINK REGENCY TEACUP AND SAUCER
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",0.05267938237965486,0.027247956403269755,0.02452316076294278,0.4655172413793104,17.08448275862069,1.0,0.02308775524851077,1.819987694471302,0.9938212421433898,0.4426229508196722,0.45054573553559357,0.6827586206896552,GREEN REGENCY TEACUP AND SAUCE..,PINK REGENCY TEACUP AND SAUCER & ROSES REGENCY TEACUP AND SAUCE..
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.027247956403269755,0.05267938237965486,0.02452316076294278,0.9,17.08448275862069,1.0,0.02308775524851077,9.473206176203453,0.9678389874468306,0.4426229508196722,0.8944391179290508,0.6827586206896552,PINK REGENCY TEACUP AND SAUCER & ROSES REGENCY TEACUP AND SAUCE..,GREEN REGENCY TEACUP AND SAUCE..
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.02815622161671208,0.051771117166212535,0.02452316076294278,0.870967741935484,16.823429541595928,1.0,0.023065481714666134,7.34877384196186,0.9678089304257529,0.4426229508196722,0.863922877271042,0.6723259762309,GREEN REGENCY TEACUP AND SAUCE.. & PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCE..
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",0.051771117166212535,0.02815622161671208,0.02452316076294278,0.4736842105263158,16.823429541595928,1.0,0.023065481714666134,1.8465031789282471,0.9919114516815666,0.4426229508196722,0.45843580914904086,0.6723259762309,ROSES REGENCY TEACUP AND SAUCE..,GREEN REGENCY TEACUP AND SAUCE.. & PINK REGENCY TEACUP AND SAUCER
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05267938237965486,0.03451407811080836,0.02815622161671208,0.5344827586206896,15.485934664246821,1.0,0.02633804129843153,2.0740067951693746,0.9874431695172114,0.47692307692307684,0.517841502578908,0.6751361161524501,GREEN REGENCY TEACUP AND SAUCE..,PINK REGENCY TEACUP AND SAUCER
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.03451407811080836,0.05267938237965486,0.02815622161671208,0.8157894736842104,15.485934664246821,1.0,0.02633804129843153,5.142597638510441,0.9688647467605377,0.47692307692307684,0.8055457435535145,0.6751361161524501,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCE..
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.03451407811080836,0.051771117166212535,0.027247956403269755,0.7894736842105262,15.249307479224374,1.0,0.025461124021511284,4.504087193460489,0.967826904985889,0.46153846153846156,0.777979431336963,0.6578947368421052,PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCE..
frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.051771117166212535,0.03451407811080836,0.027247956403269755,0.5263157894736842,15.249307479224374,1.0,0.025461124021511284,2.038248057321627,0.9854406130268198,0.46153846153846156,0.5093825815715205,0.6578947368421052,ROSES REGENCY TEACUP AND SAUCE..,PINK REGENCY TEACUP AND SAUCER
